479	65653	0	0	34640
598	0	820	0	0
17	32830673	0	0	52228325
171	1252582	0	0	2008066
291	555996	0	0	1262309
731	659781	135005	355132	1092824
1042	0	0	32320	51526
457	142582	0	0	90390
30	15065777	0	0	17554468
188	6929781	0	0	10409157
433	3742875	0	0	4456223
619	0	0	0	355539
299	101040	0	0	80118
899	0	0	166340	0
387	731465	0	0	1283954
205	117749	0	0	266186
490	272089	0	0	826895
2183	2806591	907451	1282882	4639994
406	3254315	0	0	6724877
134	601817	0	0	925433
361	5477637	0	0	1730897
759	119969	42030	118623	145629
1139	119486	37514	68389	270120
234	80255	0	0	10301
2169	17232792	3865505	3068068	26425285
1640	0	920	0	0
2512	0	0	2250	450
523	925716	0	0	1279584
849	0	0	141450	0
732	424718	259008	334474	646417
65	238758	0	0	275257
415	4464492	0	0	8039061
201	205641	0	0	249313
211	92326	0	0	30288
823	405545	148237	699987	883994
365	6733329	0	0	10354706
209	119151	0	0	185769
889	0	0	233400	0
2252	13612395	2510015	4818853	15615247
357	580050	0	0	1319155
529	888192	0	0	1698304
624	0	0	0	59009003
475	1572972	0	0	2446914
413	95403	0	0	324130
2223	765001	271992	233926	1227411
539	141649	11816	43045	56043
417	7602580	0	0	8524821
364	16783	0	0	180
512	25341	0	0	70015
609	0	380	0	0
456	876210	0	0	1772124
180	211103	0	0	309908
144	5362006	0	0	6022845
15	543119	0	0	750951
155	609043	0	0	1246056
210	182657	0	0	186599
400	2280039	0	0	2184340
595	0	1540	0	0
789	0	0	5010	0
241	77281	0	0	34995
613	0	0	0	3920184
852	0	0	235320	0
821	5943517	1116046	2427025	6033412
169	424762	0	0	365815
2361	224558	3131	89691	269442
548	20905263	6818990	9304633	27486886
20	29766194	0	0	45516754
2197	213659	53904	115410	219962
33	151815	0	0	162028
791	7872981	1715928	6439259	13216688
846	0	0	358080	0
2536	5920306	1666572	1559683	0
2356	20127313	4986910	0	29368770
71	387288	0	0	1053594
222	337418	0	0	459160
844	856665	150791	584872	564485
217	896264	0	0	9218066
1124	0	28	0	0
740	0	188	0	0
161	8359643	0	0	15192277
466	435982	0	0	626022
239	47221	0	0	11020
756	13058456	4100262	9805096	13004359
280	1417226	0	0	2293899
362	47039	0	0	25775
546	0	0	525	0
113	1233680	0	0	2609229
786	0	0	1050	0
372	904834	0	0	1159006
2344	301672	120806	142888	434916
2239	289609	115158	105293	294766
2250	3162408	822513	2763561	5017849
757	206277	9609	226139	233656
83	2265839	0	0	2162102
587	1582110	1303786	672424	1624051
1125	0	0	10600	450
66	5658126	0	0	9328834
534	13076	0	0	12508
427	2765696	0	0	6529285
261	959866	0	0	1785164
437	1071633	0	0	2169498
145	451502	0	0	918764
993	48150748	25113787	27639084	67050543
615	0	4520	0	0
2497	390120	109341	0	322357
252	4496673	0	0	3833351
635	0	4160	0	0
648	347619	495380	145155	203256
2187	31094599	7784820	10038898	25285762
2138	211490	35756	209523	487888
367	673588	0	0	1541895
884	0	0	70500	0
1123	0	0	9050	100
